"Date" "Open" "High" "Low" "Close" "Volume" "Ex-Dividend" "Split Ratio" "Adj. Open" "Adj. High" "Adj. Low" "Adj. Close" "Adj. Volume"
"1" 2015-12-31 107.01 107.03 104.82 105.26 40123438 0 1 106.43704695222 106.4569398682 104.25877265239 104.69641680395 40123438
"2" 2015-12-30 108.58 108.7 107.18 107.32 24265772 0 1 107.99864085667 108.11799835255 106.60613673806 106.74538714992 24265772
"3" 2015-12-29 106.96 109.43 106.86 108.74 30598887 0 1 106.38731466227 108.84408978583 106.28785008237 108.15778418451 30598887
"4" 2015-12-28 107.59 107.69 106.1807 106.82 26502466 0 1 107.01394151565 107.11340609555 105.6121871911 106.24806425041 26502466
"5" 2015-12-24 109 109 107.95 108.03 13595745 0 1 108.41639209226 108.41639209226 107.37201400329 107.45158566722 13595745
"6" 2015-12-23 107.27 108.85 107.2 108.62 32296587 0 1 106.69565485997 108.26719522241 106.62602965404 108.03842668863 32296587
"7" 2015-12-22 107.4 107.72 106.451 107.23 31316821 0 1 106.82495881384 107.14324546952 105.88103995058 106.65586902801 31316821
"8" 2015-12-21 107.28 107.37 105.57 107.33 43501991 0 1 106.70560131796 106.79511943987 105.00475700165 106.75533360791 43501991
"9" 2015-12-18 108.91 109.52 105.81 105.9 90983104 0 1 108.32687397035 108.93360790774 105.24347199341 105.33299011532 90983104
"10" 2015-12-17 112.02 112.25 108.98 108.98 44233229 0 1 111.42022240527 111.64899093904 108.39649917628 108.39649917628 44233229
"11" 2015-12-16 111.07 111.99 108.8 111.338 55553267 0 1 110.47530889621 111.3903830313 108.21746293245 110.74187397035 55553267
"12" 2015-12-15 111.94 112.8 110.35 110.49 52592533 0 1 111.34065074135 112.1960461285 109.75916392092 109.89841433278 52592533
"13" 2015-12-14 112.18 112.68 109.79 112.48 63833762 0 1 111.57936573311 112.07668863262 109.20216227348 111.87775947282 63833762
"14" 2015-12-11 115.19 115.39 112.851 113.18 46396531 0 1 114.57324958814 114.77217874794 112.24677306425 112.57401153213 46396531
